epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.1627,1.69382,2.51244,1.60399,0.00333,1,0.4988,0.24906,1.58633,3.40853,1.97234,0,0,0
2,2.22434,1.68763,2.61978,1.747,0.00333,1,0.49889,0.25409,1.50241,3.61179,1.94054,1.9604e-05,1.9604e-05,1.9604e-05
3,3.27876,1.74227,2.8452,1.75448,0.00333,1,0.49908,0.27438,1.44841,3.41297,1.8759,3.8416e-05,3.8416e-05,3.8416e-05
4,4.32783,1.29212,2.44948,1.5335,0.00333,1,0.49926,0.29926,1.15499,3.53007,1.84975,5.6436e-05,5.6436e-05,5.6436e-05
5,5.41337,1.50794,2.48084,1.49092,0.00333,1,0.49913,0.30002,1.09361,3.56029,1.79183,7.3664e-05,7.3664e-05,7.3664e-05
6,6.49146,1.07705,2.68457,1.25502,0.00333,1,0.52,0.27733,1.08554,3.4815,1.78789,9.01e-05,9.01e-05,9.01e-05
7,7.57337,1.43658,2.63604,1.70942,0.00333,1,0.57192,0.31409,1.07241,3.34222,1.76728,0.000105744,0.000105744,0.000105744
8,8.653,1.42423,2.31103,1.49706,0.00333,1,0.66167,0.34858,1.01559,3.2777,1.74461,0.000120596,0.000120596,0.000120596
9,9.86555,1.3132,2.3381,1.35693,0.00333,1,0.695,0.44762,0.86347,3.29955,1.66201,0.000134656,0.000134656,0.000134656
10,10.9152,1.03011,1.93382,1.12842,0.00333,1,0.995,0.59742,0.78789,3.3353,1.55835,0.000147924,0.000147924,0.000147924
11,11.9805,1.08127,1.64095,1.30164,0.00333,1,0.995,0.64708,0.81911,3.24119,1.46984,0.0001604,0.0001604,0.0001604
12,13.0205,1.09953,1.67538,1.38952,0.00333,1,0.995,0.62232,0.76006,3.23043,1.44129,0.000172084,0.000172084,0.000172084
13,14.0626,1.0524,2.07713,1.31769,0.00333,1,0.995,0.72161,0.76284,3.22438,1.39274,0.000182976,0.000182976,0.000182976
